Place;Date;Time;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit;Value;Unit
1;17/05/2008;09:15:44;26.9;WBGT Temp C;40.5;%RH C      ;34.3;TA Temp C  ;35.3;TG Temp C  ;23.3;WET Temp C ;18.9;DP Temp C  
2;17/05/2008;09:16:44;27;WBGT Temp C;40.7;%RH C      ;34.3;TA Temp C  ;35.4;TG Temp C  ;23.5;WET Temp C ;19.1;DP Temp C  
3;17/05/2008;09:17:44;27.1;WBGT Temp C;40.4;%RH C      ;34.5;TA Temp C  ;35.5;TG Temp C  ;23.5;WET Temp C ;19.1;DP Temp C  
4;17/05/2008;09:18:44;27.2;WBGT Temp C;40.5;%RH C      ;34.5;TA Temp C  ;35.6;TG Temp C  ;23.6;WET Temp C ;19.2;DP Temp C  
5;17/05/2008;09:19:44;27.2;WBGT Temp C;40.5;%RH C      ;34.6;TA Temp C  ;35.6;TG Temp C  ;23.6;WET Temp C ;19.2;DP Temp C  
6;17/05/2008;09:20:44;27.1;WBGT Temp C;40.4;%RH C      ;34.6;TA Temp C  ;35.6;TG Temp C  ;23.5;WET Temp C ;19.1;DP Temp C  
7;17/05/2008;09:21:44;27.2;WBGT Temp C;39.8;%RH C      ;34.8;TA Temp C  ;35.8;TG Temp C  ;23.6;WET Temp C ;19.1;DP Temp C  
8;17/05/2008;09:22:44;27.2;WBGT Temp C;40.1;%RH C      ;34.7;TA Temp C  ;35.8;TG Temp C  ;23.6;WET Temp C ;19.2;DP Temp C  
9;17/05/2008;09:23:44;27.2;WBGT Temp C;39.7;%RH C      ;34.8;TA Temp C  ;35.8;TG Temp C  ;23.5;WET Temp C ;19;DP Temp C  
10;17/05/2008;09:24:44;27.4;WBGT Temp C;39.7;%RH C      ;35.1;TA Temp C  ;35.9;TG Temp C  ;23.8;WET Temp C ;19.3;DP Temp C  
11;17/05/2008;09:25:44;27.4;WBGT Temp C;39.1;%RH C      ;35.2;TA Temp C  ;36.1;TG Temp C  ;23.7;WET Temp C ;19.1;DP Temp C  
12;17/05/2008;09:26:44;27.4;WBGT Temp C;38.7;%RH C      ;35.3;TA Temp C  ;36.2;TG Temp C  ;23.7;WET Temp C ;19.1;DP Temp C  
13;17/05/2008;09:27:44;27.4;WBGT Temp C;38.4;%RH C      ;35.3;TA Temp C  ;36.3;TG Temp C  ;23.6;WET Temp C ;18.9;DP Temp C  
14;17/05/2008;09:28:44;27.5;WBGT Temp C;38.3;%RH C      ;35.4;TA Temp C  ;36.4;TG Temp C  ;23.7;WET Temp C ;19;DP Temp C  
15;17/05/2008;09:29:44;27.4;WBGT Temp C;37.8;%RH C      ;35.5;TA Temp C  ;36.5;TG Temp C  ;23.6;WET Temp C ;18.9;DP Temp C  
16;17/05/2008;09:30:44;27.4;WBGT Temp C;37.9;%RH C      ;35.4;TA Temp C  ;36.5;TG Temp C  ;23.6;WET Temp C ;18.8;DP Temp C  
17;17/05/2008;09:31:44;27.4;WBGT Temp C;37.9;%RH C      ;35.4;TA Temp C  ;36.4;TG Temp C  ;23.6;WET Temp C ;18.8;DP Temp C  
18;17/05/2008;09:32:44;27.4;WBGT Temp C;37.8;%RH C      ;35.3;TA Temp C  ;36.3;TG Temp C  ;23.6;WET Temp C ;18.8;DP Temp C  
19;17/05/2008;09:33:44;27.3;WBGT Temp C;37.7;%RH C      ;35.4;TA Temp C  ;36.4;TG Temp C  ;23.5;WET Temp C ;18.7;DP Temp C  
20;17/05/2008;09:34:44;27.3;WBGT Temp C;37.9;%RH C      ;35.2;TA Temp C  ;36.3;TG Temp C  ;23.5;WET Temp C ;18.7;DP Temp C  
21;17/05/2008;09:35:44;27.4;WBGT Temp C;37.9;%RH C      ;35.3;TA Temp C  ;36.4;TG Temp C  ;23.6;WET Temp C ;18.8;DP Temp C  
22;17/05/2008;09:36:44;27.4;WBGT Temp C;37.6;%RH C      ;35.5;TA Temp C  ;36.5;TG Temp C  ;23.6;WET Temp C ;18.8;DP Temp C  
23;17/05/2008;09:37:44;27.4;WBGT Temp C;37.8;%RH C      ;35.4;TA Temp C  ;36.5;TG Temp C  ;23.6;WET Temp C ;18.9;DP Temp C  
24;17/05/2008;09:38:44;27.4;WBGT Temp C;37.5;%RH C      ;35.4;TA Temp C  ;36.5;TG Temp C  ;23.5;WET Temp C ;18.6;DP Temp C  
25;17/05/2008;09:39:44;27.4;WBGT Temp C;37.5;%RH C      ;35.5;TA Temp C  ;36.4;TG Temp C  ;23.6;WET Temp C ;18.7;DP Temp C  
26;17/05/2008;09:40:44;27.4;WBGT Temp C;37.2;%RH C      ;35.6;TA Temp C  ;36.5;TG Temp C  ;23.6;WET Temp C ;18.7;DP Temp C  
27;17/05/2008;09:41:44;27.5;WBGT Temp C;36.9;%RH C      ;35.7;TA Temp C  ;36.6;TG Temp C  ;23.6;WET Temp C ;18.6;DP Temp C  
28;17/05/2008;09:42:44;27.5;WBGT Temp C;36.5;%RH C      ;35.9;TA Temp C  ;36.8;TG Temp C  ;23.6;WET Temp C ;18.6;DP Temp C  
29;17/05/2008;09:43:44;27.6;WBGT Temp C;36.5;%RH C      ;35.9;TA Temp C  ;36.9;TG Temp C  ;23.6;WET Temp C ;18.6;DP Temp C  
30;17/05/2008;09:44:44;27.6;WBGT Temp C;36.6;%RH C      ;35.9;TA Temp C  ;37;TG Temp C  ;23.7;WET Temp C ;18.8;DP Temp C  
31;17/05/2008;09:45:44;27.5;WBGT Temp C;36.7;%RH C      ;35.8;TA Temp C  ;36.8;TG Temp C  ;23.6;WET Temp C ;18.6;DP Temp C  
32;17/05/2008;09:46:44;27.4;WBGT Temp C;36.5;%RH C      ;35.8;TA Temp C  ;36.8;TG Temp C  ;23.5;WET Temp C ;18.6;DP Temp C  
33;17/05/2008;09:47:44;27.5;WBGT Temp C;36.3;%RH C      ;35.9;TA Temp C  ;36.8;TG Temp C  ;23.6;WET Temp C ;18.6;DP Temp C  
34;17/05/2008;09:48:44;27.4;WBGT Temp C;36.4;%RH C      ;35.8;TA Temp C  ;36.7;TG Temp C  ;23.5;WET Temp C ;18.5;DP Temp C  
35;17/05/2008;09:49:44;27.5;WBGT Temp C;36.3;%RH C      ;35.9;TA Temp C  ;36.9;TG Temp C  ;23.6;WET Temp C ;18.6;DP Temp C  
36;17/05/2008;09:50:44;27.6;WBGT Temp C;36;%RH C      ;36.1;TA Temp C  ;37;TG Temp C  ;23.6;WET Temp C ;18.6;DP Temp C  
37;17/05/2008;09:51:44;27.7;WBGT Temp C;35.9;%RH C      ;36.2;TA Temp C  ;37.2;TG Temp C  ;23.7;WET Temp C ;18.6;DP Temp C  
38;17/05/2008;09:52:44;27.6;WBGT Temp C;36.1;%RH C      ;36;TA Temp C  ;37.2;TG Temp C  ;23.6;WET Temp C ;18.6;DP Temp C  
39;17/05/2008;09:53:44;27.8;WBGT Temp C;36.2;%RH C      ;36.2;TA Temp C  ;37.4;TG Temp C  ;23.8;WET Temp C ;18.9;DP Temp C  
40;17/05/2008;09:54:44;27.8;WBGT Temp C;35.3;%RH C      ;36.4;TA Temp C  ;37.5;TG Temp C  ;23.7;WET Temp C ;18.6;DP Temp C  
41;17/05/2008;09:55:44;27.9;WBGT Temp C;35.4;%RH C      ;36.4;TA Temp C  ;37.5;TG Temp C  ;23.8;WET Temp C ;18.7;DP Temp C  
42;17/05/2008;09:56:44;27.9;WBGT Temp C;35.3;%RH C      ;36.5;TA Temp C  ;37.6;TG Temp C  ;23.8;WET Temp C ;18.6;DP Temp C  
43;17/05/2008;09:57:44;28;WBGT Temp C;35;%RH C      ;36.6;TA Temp C  ;37.8;TG Temp C  ;23.8;WET Temp C ;18.6;DP Temp C  
44;17/05/2008;09:58:44;28;WBGT Temp C;35.3;%RH C      ;36.5;TA Temp C  ;37.8;TG Temp C  ;23.8;WET Temp C ;18.6;DP Temp C  
45;17/05/2008;09:59:44;27.9;WBGT Temp C;35.4;%RH C      ;36.5;TA Temp C  ;37.6;TG Temp C  ;23.8;WET Temp C ;18.7;DP Temp C  
46;17/05/2008;10:00:44;27.8;WBGT Temp C;35.5;%RH C      ;36.3;TA Temp C  ;37.6;TG Temp C  ;23.7;WET Temp C ;18.6;DP Temp C  
47;17/05/2008;10:01:44;27.9;WBGT Temp C;35.3;%RH C      ;36.5;TA Temp C  ;37.6;TG Temp C  ;23.8;WET Temp C ;18.6;DP Temp C  
48;17/05/2008;10:02:44;27.8;WBGT Temp C;35.2;%RH C      ;36.5;TA Temp C  ;37.6;TG Temp C  ;23.7;WET Temp C ;18.6;DP Temp C  
49;17/05/2008;10:03:44;27.9;WBGT Temp C;35;%RH C      ;36.6;TA Temp C  ;37.6;TG Temp C  ;23.8;WET Temp C ;18.6;DP Temp C  
50;17/05/2008;10:04:44;28;WBGT Temp C;34.9;%RH C      ;36.8;TA Temp C  ;37.8;TG Temp C  ;23.9;WET Temp C ;18.7;DP Temp C  
51;17/05/2008;10:05:44;28;WBGT Temp C;34.2;%RH C      ;36.9;TA Temp C  ;37.9;TG Temp C  ;23.8;WET Temp C ;18.5;DP Temp C  
52;17/05/2008;10:06:44;28;WBGT Temp C;34.4;%RH C      ;36.8;TA Temp C  ;38;TG Temp C  ;23.8;WET Temp C ;18.5;DP Temp C  
53;17/05/2008;10:07:44;28.1;WBGT Temp C;34.7;%RH C      ;36.8;TA Temp C  ;37.9;TG Temp C  ;23.8;WET Temp C ;18.6;DP Temp C  
54;17/05/2008;10:08:44;27.9;WBGT Temp C;34.3;%RH C      ;36.7;TA Temp C  ;37.9;TG Temp C  ;23.7;WET Temp C ;18.4;DP Temp C  
55;17/05/2008;10:09:44;27.9;WBGT Temp C;34.3;%RH C      ;36.7;TA Temp C  ;37.9;TG Temp C  ;23.7;WET Temp C ;18.4;DP Temp C  
56;17/05/2008;10:10:44;27.9;WBGT Temp C;34.2;%RH C      ;36.7;TA Temp C  ;37.8;TG Temp C  ;23.7;WET Temp C ;18.4;DP Temp C  
57;17/05/2008;10:11:44;28;WBGT Temp C;34.1;%RH C      ;36.8;TA Temp C  ;37.9;TG Temp C  ;23.8;WET Temp C ;18.4;DP Temp C  
58;17/05/2008;10:12:44;28.1;WBGT Temp C;34;%RH C      ;37;TA Temp C  ;38.1;TG Temp C  ;23.9;WET Temp C ;18.6;DP Temp C  
59;17/05/2008;10:13:44;28.2;WBGT Temp C;33.7;%RH C      ;37.1;TA Temp C  ;38.3;TG Temp C  ;23.9;WET Temp C ;18.5;DP Temp C  
60;17/05/2008;10:14:44;28;WBGT Temp C;33.5;%RH C      ;37.1;TA Temp C  ;38.3;TG Temp C  ;23.7;WET Temp C ;18.3;DP Temp C  
61;17/05/2008;10:15:44;28;WBGT Temp C;33.5;%RH C      ;37.1;TA Temp C  ;38.2;TG Temp C  ;23.7;WET Temp C ;18.3;DP Temp C  
62;17/05/2008;10:16:44;28;WBGT Temp C;33;%RH C      ;37.1;TA Temp C  ;38.3;TG Temp C  ;23.6;WET Temp C ;18.1;DP Temp C  
63;17/05/2008;10:17:44;28;WBGT Temp C;33.5;%RH C      ;37.1;TA Temp C  ;38.3;TG Temp C  ;23.7;WET Temp C ;18.3;DP Temp C  
64;17/05/2008;10:18:44;28;WBGT Temp C;33.7;%RH C      ;37;TA Temp C  ;38.2;TG Temp C  ;23.7;WET Temp C ;18.3;DP Temp C  
65;17/05/2008;10:19:44;27.9;WBGT Temp C;33.7;%RH C      ;36.8;TA Temp C  ;38;TG Temp C  ;23.6;WET Temp C ;18.2;DP Temp C  
66;17/05/2008;10:20:44;27.9;WBGT Temp C;33.5;%RH C      ;37.1;TA Temp C  ;38;TG Temp C  ;23.7;WET Temp C ;18.3;DP Temp C  
67;17/05/2008;10:21:44;28.1;WBGT Temp C;33.2;%RH C      ;37.3;TA Temp C  ;38.2;TG Temp C  ;23.8;WET Temp C ;18.4;DP Temp C  
68;17/05/2008;10:22:44;28.2;WBGT Temp C;33.1;%RH C      ;37.2;TA Temp C  ;38.5;TG Temp C  ;23.8;WET Temp C ;18.3;DP Temp C  
69;17/05/2008;10:23:44;28.3;WBGT Temp C;33.1;%RH C      ;37.4;TA Temp C  ;38.6;TG Temp C  ;23.9;WET Temp C ;18.4;DP Temp C  
70;17/05/2008;10:24:44;28.4;WBGT Temp C;32.9;%RH C      ;37.6;TA Temp C  ;38.9;TG Temp C  ;24;WET Temp C ;18.6;DP Temp C  
71;17/05/2008;10:25:44;28.4;WBGT Temp C;32.4;%RH C      ;37.7;TA Temp C  ;39.1;TG Temp C  ;23.9;WET Temp C ;18.3;DP Temp C  
72;17/05/2008;10:26:44;28.4;WBGT Temp C;32.6;%RH C      ;37.7;TA Temp C  ;39.1;TG Temp C  ;23.9;WET Temp C ;18.4;DP Temp C  
73;17/05/2008;10:27:44;28.4;WBGT Temp C;32.6;%RH C      ;37.6;TA Temp C  ;38.9;TG Temp C  ;23.9;WET Temp C ;18.3;DP Temp C  
74;17/05/2008;10:28:44;28.3;WBGT Temp C;32.3;%RH C      ;37.6;TA Temp C  ;38.9;TG Temp C  ;23.8;WET Temp C ;18.2;DP Temp C  
75;17/05/2008;10:29:44;28.3;WBGT Temp C;32.4;%RH C      ;37.6;TA Temp C  ;39;TG Temp C  ;23.8;WET Temp C ;18.2;DP Temp C  
76;17/05/2008;10:30:44;28.3;WBGT Temp C;32.4;%RH C      ;37.6;TA Temp C  ;39.1;TG Temp C  ;23.8;WET Temp C ;18.2;DP Temp C  
77;17/05/2008;10:31:44;28.4;WBGT Temp C;32.5;%RH C      ;37.7;TA Temp C  ;39.1;TG Temp C  ;23.9;WET Temp C ;18.4;DP Temp C  
78;17/05/2008;10:32:44;28.5;WBGT Temp C;32.2;%RH C      ;37.9;TA Temp C  ;39.2;TG Temp C  ;24.1;WET Temp C ;18.5;DP Temp C  
79;17/05/2008;10:33:44;28.4;WBGT Temp C;31.9;%RH C      ;37.9;TA Temp C  ;39.1;TG Temp C  ;23.9;WET Temp C ;18.2;DP Temp C  
80;17/05/2008;10:34:44;28.3;WBGT Temp C;32;%RH C      ;37.7;TA Temp C  ;39;TG Temp C  ;23.8;WET Temp C ;18.1;DP Temp C  
81;17/05/2008;10:35:44;28.3;WBGT Temp C;32.1;%RH C      ;37.7;TA Temp C  ;38.8;TG Temp C  ;23.8;WET Temp C ;18.2;DP Temp C  
82;17/05/2008;10:36:44;28.3;WBGT Temp C;31.7;%RH C      ;37.7;TA Temp C  ;38.8;TG Temp C  ;23.8;WET Temp C ;18.1;DP Temp C  
83;17/05/2008;10:37:44;28.1;WBGT Temp C;31.2;%RH C      ;37.7;TA Temp C  ;38.9;TG Temp C  ;23.6;WET Temp C ;17.7;DP Temp C  
84;17/05/2008;10:38:44;28;WBGT Temp C;31.3;%RH C      ;37.6;TA Temp C  ;38.8;TG Temp C  ;23.5;WET Temp C ;17.7;DP Temp C  
85;17/05/2008;10:39:44;28.2;WBGT Temp C;30.6;%RH C      ;37.9;TA Temp C  ;39;TG Temp C  ;23.6;WET Temp C ;17.6;DP Temp C  
86;17/05/2008;10:40:44;28.2;WBGT Temp C;31.3;%RH C      ;37.7;TA Temp C  ;39.1;TG Temp C  ;23.6;WET Temp C ;17.8;DP Temp C  
87;17/05/2008;10:41:44;28.3;WBGT Temp C;31;%RH C      ;37.9;TA Temp C  ;39.3;TG Temp C  ;23.7;WET Temp C ;17.8;DP Temp C  
88;17/05/2008;10:42:44;28.2;WBGT Temp C;30.9;%RH C      ;37.9;TA Temp C  ;39.2;TG Temp C  ;23.6;WET Temp C ;17.7;DP Temp C  
89;17/05/2008;10:43:44;28.4;WBGT Temp C;30.9;%RH C      ;38;TA Temp C  ;39.3;TG Temp C  ;23.8;WET Temp C ;17.9;DP Temp C  
90;17/05/2008;10:44:44;28.4;WBGT Temp C;30.5;%RH C      ;38;TA Temp C  ;39.6;TG Temp C  ;23.6;WET Temp C ;17.6;DP Temp C  
91;17/05/2008;10:45:44;28.5;WBGT Temp C;30.5;%RH C      ;38.2;TA Temp C  ;39.6;TG Temp C  ;23.7;WET Temp C ;17.8;DP Temp C  
92;17/05/2008;10:46:44;28.5;WBGT Temp C;30.3;%RH C      ;38.3;TA Temp C  ;39.7;TG Temp C  ;23.8;WET Temp C ;17.8;DP Temp C  
93;17/05/2008;10:47:44;28.6;WBGT Temp C;30;%RH C      ;38.6;TA Temp C  ;39.8;TG Temp C  ;23.9;WET Temp C ;17.9;DP Temp C  
94;17/05/2008;10:48:44;28.5;WBGT Temp C;29.2;%RH C      ;38.7;TA Temp C  ;39.8;TG Temp C  ;23.7;WET Temp C ;17.5;DP Temp C  
95;17/05/2008;10:49:44;28.5;WBGT Temp C;29.7;%RH C      ;38.4;TA Temp C  ;39.7;TG Temp C  ;23.7;WET Temp C ;17.5;DP Temp C  
96;17/05/2008;10:50:44;28.4;WBGT Temp C;30.1;%RH C      ;38.3;TA Temp C  ;39.5;TG Temp C  ;23.7;WET Temp C ;17.7;DP Temp C  
97;17/05/2008;10:51:44;28.1;WBGT Temp C;30.1;%RH C      ;37.8;TA Temp C  ;39.2;TG Temp C  ;23.4;WET Temp C ;17.3;DP Temp C  
98;17/05/2008;10:52:44;28;WBGT Temp C;30.1;%RH C      ;37.9;TA Temp C  ;38.9;TG Temp C  ;23.4;WET Temp C ;17.3;DP Temp C  
99;17/05/2008;10:53:44;28.1;WBGT Temp C;29.5;%RH C      ;38.2;TA Temp C  ;38.9;TG Temp C  ;23.5;WET Temp C ;17.3;DP Temp C  
100;17/05/2008;10:54:44;28.1;WBGT Temp C;29.4;%RH C      ;38.3;TA Temp C  ;39.1;TG Temp C  ;23.5;WET Temp C ;17.3;DP Temp C  
101;17/05/2008;10:55:44;28.2;WBGT Temp C;29.2;%RH C      ;38.3;TA Temp C  ;39.3;TG Temp C  ;23.4;WET Temp C ;17.2;DP Temp C  
102;17/05/2008;10:56:44;28.1;WBGT Temp C;28.9;%RH C      ;38.2;TA Temp C  ;39.4;TG Temp C  ;23.3;WET Temp C ;16.9;DP Temp C  
103;17/05/2008;10:57:44;28.1;WBGT Temp C;29.1;%RH C      ;38.2;TA Temp C  ;39.5;TG Temp C  ;23.3;WET Temp C ;17;DP Temp C  
104;17/05/2008;10:58:44;28.3;WBGT Temp C;29.2;%RH C      ;38.3;TA Temp C  ;39.6;TG Temp C  ;23.5;WET Temp C ;17.3;DP Temp C  
105;17/05/2008;10:59:44;28.3;WBGT Temp C;29.1;%RH C      ;38.4;TA Temp C  ;39.7;TG Temp C  ;23.5;WET Temp C ;17.2;DP Temp C  
106;17/05/2008;11:00:44;28.4;WBGT Temp C;28.7;%RH C      ;38.6;TA Temp C  ;39.9;TG Temp C  ;23.5;WET Temp C ;17.2;DP Temp C  
107;17/05/2008;11:01:44;28.6;WBGT Temp C;28.7;%RH C      ;38.8;TA Temp C  ;40.1;TG Temp C  ;23.7;WET Temp C ;17.3;DP Temp C  
108;17/05/2008;11:02:44;28.6;WBGT Temp C;28.5;%RH C      ;38.9;TA Temp C  ;40.2;TG Temp C  ;23.7;WET Temp C ;17.3;DP Temp C  
109;17/05/2008;11:03:44;28.5;WBGT Temp C;28.7;%RH C      ;38.8;TA Temp C  ;40.1;TG Temp C  ;23.6;WET Temp C ;17.3;DP Temp C  
110;17/05/2008;11:04:44;28.7;WBGT Temp C;28.5;%RH C      ;39;TA Temp C  ;40.2;TG Temp C  ;23.8;WET Temp C ;17.5;DP Temp C  
111;17/05/2008;11:05:44;28.6;WBGT Temp C;28;%RH C      ;39.1;TA Temp C  ;40.3;TG Temp C  ;23.7;WET Temp C ;17.2;DP Temp C  
112;17/05/2008;11:06:44;28.4;WBGT Temp C;28.2;%RH C      ;38.7;TA Temp C  ;40.2;TG Temp C  ;23.4;WET Temp C ;17;DP Temp C  
113;17/05/2008;11:07:44;28.6;WBGT Temp C;28;%RH C      ;39.1;TA Temp C  ;40.3;TG Temp C  ;23.7;WET Temp C ;17.2;DP Temp C  
114;17/05/2008;11:08:44;28.6;WBGT Temp C;27.9;%RH C      ;39.1;TA Temp C  ;40.5;TG Temp C  ;23.6;WET Temp C ;17.1;DP Temp C  
115;17/05/2008;11:09:44;28.7;WBGT Temp C;28.2;%RH C      ;39;TA Temp C  ;40.4;TG Temp C  ;23.7;WET Temp C ;17.2;DP Temp C  
116;17/05/2008;11:10:44;28.7;WBGT Temp C;27.9;%RH C      ;39;TA Temp C  ;40.6;TG Temp C  ;23.6;WET Temp C ;17.1;DP Temp C  
117;17/05/2008;11:11:44;28.6;WBGT Temp C;27.6;%RH C      ;39.1;TA Temp C  ;40.7;TG Temp C  ;23.5;WET Temp C ;17;DP Temp C  
118;17/05/2008;11:12:44;28.5;WBGT Temp C;27.8;%RH C      ;38.9;TA Temp C  ;40.6;TG Temp C  ;23.5;WET Temp C ;16.9;DP Temp C  
119;17/05/2008;11:13:44;28.3;WBGT Temp C;26.9;%RH C      ;38.8;TA Temp C  ;40.6;TG Temp C  ;23.1;WET Temp C ;16.3;DP Temp C  
120;17/05/2008;11:14:44;28.2;WBGT Temp C;27.8;%RH C      ;38.4;TA Temp C  ;40.4;TG Temp C  ;23.1;WET Temp C ;16.5;DP Temp C  
121;17/05/2008;11:15:44;28.2;WBGT Temp C;27.2;%RH C      ;38.6;TA Temp C  ;40.4;TG Temp C  ;23.2;WET Temp C ;16.4;DP Temp C  
122;17/05/2008;11:16:44;28.2;WBGT Temp C;26.9;%RH C      ;38.8;TA Temp C  ;40.4;TG Temp C  ;23.1;WET Temp C ;16.3;DP Temp C  
